Summary,Issue key,Issue Type,Status,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (DateTimePicker_TP1),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (LargeText_TP1),Custom field (LookupList(Single)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (Number_TP1),Custom field (Rank),Custom field (Story Points),Custom field (String(Text)_TP1),Custom field ([CHART] Date of First Response),Comment,Labels,Labels,Labels
Bug 5022,TP1-5022,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/28/2018 18:22,5/28/2018 18:22,6/11/2018 10:56,,,,,,,,,,,,0,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0004n:,,,,,l22,l1022,ELTM
Bug 5023,TP1-5023,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/28/2018 18:21,5/28/2018 18:21,6/11/2018 11:11,,,,,,,,,,,,0,s32,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0004v:,,,,,l23,l1023,DTAX_TCH_Production
Bug 5024,TP1-5024,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/28/2018 14:31,5/28/2018 14:31,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,0,sdfvsg,,,,,,,,,,,,{},,,,,bdfbvdfv,C,A,C,,,,534,0|i00053:,,dfbvgdfvbdf,,,l24,l1024,DTAX_TCH_Reference_Estimation
Bug 5025,TP1-5025,Bug,In Progress,software,admin,,,High,,,admin,admin,5/25/2018 19:18,6/11/2018 10:55,6/11/2018 10:55,,v1,v2,v3,v1,v2,,comp1,comp2,comp3,,0,desc,,,,,,,,,,,,{},,,,,dvbdbvdfv,E,B,,,,,678,0|i0005b:,,fgdfb,,,l25,l1025,SnP_Refine
Bug 5026,TP1-5026,Bug,To Do,software,admin,,,Highest,,,admin,admin,5/25/2018 19:02,6/11/2018 10:56,6/11/2018 10:56,,,,,,,,comp2,,,,0,fgbngf,,,,,,,,,,,,{},,,,,vb fgbgf,D,C,,,,,456,0|i0005j:,,gfhbfgb,,,l26,l1026,master/Synergi_v4.0/Ora_SYNUOW/01_SNRG_700_ALTER_VIEW_SYNE_FEEDERS.sql
Bug 5027,TP1-5027,Bug,In Progress,software,admin,,,High,,,admin,admin,5/25/2018 19:01,6/11/2018 10:55,6/11/2018 10:55,,v3,,,v1,v2,,comp1,comp2,comp3,,0,desc,,,,,,,,,,,,{},,,,,bvf fgb,C,A,,,,,234,0|i0005r:,,dfvdsc,,,l27,l1027,EDI
Bug 5028,TP1-5028,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/25/2018 18:31,5/28/2018 12:02,6/11/2018 11:11,,,,,,,,comp1,,,,0,gngfb,,,,,,,,,,,,{},,,,,fvbdrfgbv,A,E,,,,,56,0|i0005z:,,fdbvdevf,,,l28,l1028,PaymentPosting
Bug 5029,TP1-5029,Bug,In Progress,software,admin,,,High,,,admin,admin,5/25/2018 18:31,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,0,desc,,,,,,,,,,,,{},,,,,fgbfb,B,E,,,,,345,0|i00067:,,fgbfb,,,l29,l1029,EDI(ThirdParty)
Bug 5030,TP1-5030,Bug,In Progress,software,admin,,,High,,,admin,admin,5/24/2018 16:40,6/11/2018 10:55,6/11/2018 10:58,,,,,,,,comp1,comp2,comp3,,0,desc,,,,,,,,,,,,{},,,,,,C,C,,,,,,0|i0006f:,,,,,l30,l1030,SpecialAgreementBilling-Complex
Bug 5031,TP1-5031,Bug,In Progress,software,admin,,,High,,,admin,admin,5/24/2018 16:40,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,0,desc,,,,,,,,,,,,{},,,,,,C,C,D,,,,,0|i0006n:,,,,,l31,l1031,ThirdPartyAPI
Bug 5032,TP1-5032,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/24/2018 14:59,5/29/2018 19:25,6/11/2018 11:11,,,,,,,,,,,,0,,,,,,,,,,,,,{},,,,,,E,B,,,,,,0|i0006v:,,,,,l32,l1032,DUNNINGSTREAM
Bug 5033,TP1-5033,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/24/2018 14:59,5/29/2018 19:26,6/11/2018 11:11,,,,,,,,,,,,0,,,,,,,,,,,,,{},,,,,,B,A,,,,,,0|i00073:,,,,,l33,l1033,PDGO
Bug 5034,TP1-5034,Bug,Done,software,admin,,,Lowest,Done,admin,admin,admin,5/24/2018 14:59,6/4/2018 17:04,6/11/2018 11:11,6/3/2018 17:43,,,,,,,,,,,0,gbnrtgt,,,,,,,,,,,,{},,,,,brtgerg2,C,D,,,,,45,0|i0007b:,,fgbhdrebgv2io,,,l34,l1034,IT_CLOUD
Bug 5035,TP1-5035,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,0,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0007j:,,,,,l35,l1035,Pelican
Bug 5036,TP1-5036,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/21/2018 13:02,5/29/2018 12:15,6/11/2018 10:56,,,,,,,,,,,,0,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0007r:,,,,,l36,l1036,Statement_Accuracy
Bug 5037,TP1-5037,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/21/2018 13:02,5/29/2018 18:12,6/11/2018 11:11,,,,,,,,,,,,0,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0007z:,,,,,l37,l1037,Billinserts(OpenTextandPitneyBowes)
Bug 5038,TP1-5038,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,0,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00087:,,,,,l38,l1038,Regression_Required
Bug 5039,TP1-5039,Bug,To Do,software,admin,,,Medium,,,admin,admin,5/21/2018 13:02,6/11/2018 10:57,6/11/2018 10:57,,,,,,,,,,,,0,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008f:,,,,,l39,l1039,3rd-reopen
Bug 5040,TP1-5040,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,0,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l40,l1040,manual_QA
Bug 5041,TP1-5041,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,1,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l41,l1041,Scheduling
Bug 5042,TP1-5042,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,2,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l42,l1042,EDPSOS
Bug 5043,TP1-5043,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,3,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l43,l1043,",dataconversion,DataConversion"
Bug 5044,TP1-5044,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,4,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l44,l1044,emtdbl23
Bug 5045,TP1-5045,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,5,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l45,l1045,docker
Bug 5046,TP1-5046,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,6,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l46,l1046,PEMA1
Bug 5047,TP1-5047,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,7,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l47,l1047,PaymentJourney
Bug 5048,TP1-5048,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,8,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l48,l1048,reading
Bug 5049,TP1-5049,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,9,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l49,l1049,NewConstructionServicePlanningVegetation
Bug 5050,TP1-5050,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,10,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l50,l1050,Bill_Print
Bug 5051,TP1-5051,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,11,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l51,l1051,CX
Bug 5052,TP1-5052,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,12,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l52,l1052,UKU
Bug 5053,TP1-5053,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,13,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l53,l1053,cx_defects
Bug 5054,TP1-5054,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,14,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l54,l1054,DADesk
Bug 5055,TP1-5055,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,15,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l55,l1055,"CARP-Demand,ComplexRates"
Bug 5056,TP1-5056,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,16,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l56,l1056,Billing_Team
Bug 5057,TP1-5057,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,17,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l57,l1057,1-CurrentChargesCalculation
Bug 5058,TP1-5058,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,18,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l58,l1058,GNG-BillPrintCalculation
Bug 5059,TP1-5059,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,19,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l59,l1059,BPO-Statement
Bug 5060,TP1-5060,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,20,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l60,l1060,NewScope-Closed
Bug 5061,TP1-5061,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,21,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l61,l1061,"TOURates-RS,TOU,GS,TOU"
Bug 5062,TP1-5062,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,22,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l62,l1062,"CARP-RS,GS"
Bug 5063,TP1-5063,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,23,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l63,l1063,MeterTOUandValidations
Bug 5064,TP1-5064,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,24,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l64,l1064,Mock10
Bug 5065,TP1-5065,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,25,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l65,l1065,AddressCleansing
Bug 5066,TP1-5066,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,26,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l66,l1066,request-for-EDP-Platform
Bug 5067,TP1-5067,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,27,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l67,l1067,Care-Center
Bug 5068,TP1-5068,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,28,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l68,l1068,Rollover
Bug 5069,TP1-5069,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,29,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l69,l1069,BPS-Offshore
Bug 5070,TP1-5070,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,30,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l70,l1070,charlotte
Bug 5071,TP1-5071,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,31,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l71,l1071,"MiscCharges-Rental,LeasedFacilities,ProjectSHARE"
Bug 5072,TP1-5072,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,32,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l72,l1072,Execution
Bug 5073,TP1-5073,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,33,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l73,l1073,BPS-Online
Bug 5074,TP1-5074,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,34,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l74,l1074,High_Number_of_Exceptions
Bug 5075,TP1-5075,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,35,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l75,l1075,EDM
Bug 5076,TP1-5076,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,36,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l76,l1076,JM
Bug 5077,TP1-5077,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,37,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l77,l1077,Walkin-EDICheckfreeandCreditCard
Bug 5078,TP1-5078,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,38,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l78,l1078,Automationofcheckprocessing-PPC-3Point
Bug 5079,TP1-5079,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,39,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l79,l1079,PPC
Bug 5080,TP1-5080,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,40,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l80,l1080,129ready
Bug 5081,TP1-5081,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,41,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l81,l1081,existing
Bug 5082,TP1-5082,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,42,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l82,l1082,CARP
Bug 5083,TP1-5083,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,43,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l83,l1083,MonthendSim
Bug 5084,TP1-5084,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,44,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l84,l1084,BW-MUT
